DATA_NAME,SORT,TRIAL,DURATION[ms]
50000/50000/3,radix,8,87
50000/50000/3,radix,9,89
50000/50000/3_almost,radix,0,83
50000/50000/3_almost,radix,1,91
50000/50000/3_almost,radix,2,96
50000/50000/3_almost,radix,3,72
50000/50000/3_almost,radix,4,86
50000/50000/3_almost,radix,5,73
50000/50000/3_almost,radix,6,74
50000/50000/3_almost,radix,7,98
50000/50000/3_almost,radix,8,97
50000/50000/3_almost,radix,9,217
50000/50000/4,radix,0,115
50000/50000/4,radix,1,102
50000/50000/4,radix,2,73
50000/50000/4,radix,3,84
50000/50000/4,radix,4,97
50000/50000/4,radix,5,97
50000/50000/4,radix,6,87
50000/50000/4,radix,7,101
50000/50000/4,radix,8,114
50000/50000/4,radix,9,118
50000/50000/4_almost,radix,0,108
50000/50000/4_almost,radix,1,121
50000/50000/4_almost,radix,2,116
50000/50000/4_almost,radix,3,88
50000/50000/4_almost,radix,4,88
50000/50000/4_almost,radix,5,88
50000/50000/4_almost,radix,6,84
50000/50000/4_almost,radix,7,99
50000/50000/4_almost,radix,8,257
50000/50000/4_almost,radix,9,109
100000/100000/0,radix,0,190
100000/100000/0,radix,1,209
100000/100000/0,radix,2,240
100000/100000/0,radix,3,220
100000/100000/0,radix,4,182
100000/100000/0,radix,5,184
100000/100000/0,radix,6,207
100000/100000/0,radix,7,215
100000/100000/0,radix,8,205
100000/100000/0,radix,9,167
100000/100000/0_almost,radix,0,188
100000/100000/0_almost,radix,1,319
100000/100000/0_almost,radix,2,204
100000/100000/0_almost,radix,3,255
100000/100000/0_almost,radix,4,278
100000/100000/0_almost,radix,5,201
100000/100000/0_almost,radix,6,205
100000/100000/0_almost,radix,7,175
100000/100000/0_almost,radix,8,215
100000/100000/0_almost,radix,9,190
100000/100000/1,radix,0,189
100000/100000/1,radix,1,216
100000/100000/1,radix,2,208
100000/100000/1,radix,3,299
100000/100000/1,radix,4,192
100000/100000/1,radix,5,228
100000/100000/1,radix,6,230
100000/100000/1,radix,7,205
100000/100000/1,radix,8,179
100000/100000/1,radix,9,191
100000/100000/1_almost,radix,0,218
100000/100000/1_almost,radix,1,196
100000/100000/1_almost,radix,2,271
100000/100000/1_almost,radix,3,231
100000/100000/1_almost,radix,4,214
100000/100000/1_almost,radix,5,270
100000/100000/1_almost,radix,6,226
100000/100000/1_almost,radix,7,211
100000/100000/1_almost,radix,8,205
100000/100000/1_almost,radix,9,203
100000/100000/2,radix,0,224
100000/100000/2,radix,1,287
100000/100000/2,radix,2,210
100000/100000/2,radix,3,202
100000/100000/2,radix,4,177
100000/100000/2,radix,5,182
100000/100000/2,radix,6,198
100000/100000/2,radix,7,215
100000/100000/2,radix,8,308
100000/100000/2,radix,9,228
100000/100000/2_almost,radix,0,276
100000/100000/2_almost,radix,1,301
100000/100000/2_almost,radix,2,256
100000/100000/2_almost,radix,3,275
100000/100000/2_almost,radix,4,223
100000/100000/2_almost,radix,5,212
100000/100000/2_almost,radix,6,251
100000/100000/2_almost,radix,7,216
100000/100000/2_almost,radix,8,215
100000/100000/2_almost,radix,9,216
100000/100000/3,radix,0,336
100000/100000/3,radix,1,180
100000/100000/3,radix,2,183
100000/100000/3,radix,3,213
100000/100000/3,radix,4,234
100000/100000/3,radix,5,217
100000/100000/3,radix,6,197
100000/100000/3,radix,7,203
100000/100000/3,radix,8,273
100000/100000/3,radix,9,272
100000/100000/3_almost,radix,0,253
100000/100000/3_almost,radix,1,228
100000/100000/3_almost,radix,2,332
100000/100000/3_almost,radix,3,243
100000/100000/3_almost,radix,4,223
100000/100000/3_almost,radix,5,224
100000/100000/3_almost,radix,6,226
100000/100000/3_almost,radix,7,211
100000/100000/3_almost,radix,8,213
100000/100000/3_almost,radix,9,229
100000/100000/4,radix,0,220
100000/100000/4,radix,1,249
100000/100000/4,radix,2,247
100000/100000/4,radix,3,236
100000/100000/4,radix,4,357
100000/100000/4,radix,5,300
100000/100000/4,radix,6,312
100000/100000/4,radix,7,222
100000/100000/4,radix,8,190
